FileName	Blur	Expos	Orient	Eyes	Mouth	Overall 
--------------------------------------------------------- 
0=Failed    1=Passed    N/A=Cannot detec face/eyes/mouth 
--------------------------------------------------------- 
images\224.jpg	1	0	1	1	1	Failed
images\225.jpg	1	0	1	1	1	Failed
images\226.jpg	1	1	1	1	1	Passed
images\227.jpg	1	1	1	1	1	Passed
images\228.jpg	1	1	0	1	1	Failed
images\229.jpg	1	1	1	1	1	Passed
images\23.jpg	1	0	1	1	1	Failed
images\230.jpg	1	1	1	1	1	Passed
images\231.jpg	1	1	1	0	1	Failed
images\232.jpg	1	1	0	1	1	Failed
images\233.jpg	0	1	1	1	1	Failed
images\234.jpg	0	1	1	0	1	Failed
images\235.jpg	0	0	1	0	1	Failed
images\236.jpg	0	1	1	1	1	Failed
images\237.jpg	0	1	1	1	1	Failed
images\238.jpg	1	0	0	1	1	Failed
images\239.jpg	1	0	1	1	1	Failed
images\24.jpg	1	0	0	1	1	Failed
images\240.jpg	1	1	1	1	1	Passed
images\241.jpg	1	1	1	1	1	Passed
images\242.jpg	1	1	1	1	1	Passed
images\243.jpg	1	1	1	1	1	Passed
images\244.jpg	0	1	0	1	1	Failed
images\245.jpg	1	1	0	1	1	Failed
images\246.jpg	1	0	1	0	1	Failed
images\247.jpg	0	0	1	0	1	Failed
images\248.jpg	1	0	0	1	1	Failed
images\249.jpg	1	0	0	1	1	Failed
images\25.jpg	0	0	1	1	1	Failed
images\250.jpg	1	0	0	1	1	Failed
images\251.jpg	1	0	1	0	1	Failed
images\252.jpg	1	0	0	1	1	Failed
images\253.jpg	1	0	0	0	1	Failed
images\254.jpg	1	0	0	1	1	Failed
images\255.jpg	1	1	0	1	1	Failed
images\256.jpg	1	1	0	0	1	Failed
images\257.jpg	1	1	0	0	1	Failed
images\258.jpg	1	0	0	1	1	Failed
images\259.jpg	1	0	1	1	1	Failed
images\26.jpg	0	1	1	1	1	Failed
images\260.jpg	1	1	0	1	1	Failed
images\261.jpg	0	1	1	1	0	Failed
images\262.jpg	1	1	1	0	1	Failed
images\263.jpg	0	0	0	1	1	Failed
images\264.jpg	1	1	1	1	1	Passed
images\265.jpg	1	0	1	1	1	Failed
images\266.jpg	1	0	1	0	1	Failed
images\267.jpg	1	1	0	1	1	Failed
images\268.jpg	1	0	0	1	1	Failed
images\269.jpg	1	1	1	1	1	Passed
images\27.jpg	1	0	0	1	1	Failed
images\270.jpg	1	1	0	1	1	Failed
images\271.jpg	1	0	0	1	1	Failed
images\272.jpg	0	1	1	1	1	Failed
images\273.jpg	1	1	1	1	1	Passed
images\274.jpg	1	1	1	0	0	Failed
images\275.jpg	1	1	0	1	1	Failed
images\276.jpg	1	1	1	0	1	Failed
images\277.jpg	0	1	0	1	1	Failed
images\278.jpg	1	1	1	1	1	Passed
images\279.jpg	1	1	1	1	1	Passed
images\28.jpg	1	1	0	1	1	Failed
images\280.jpg	0	1	0	1	1	Failed
images\281.jpg	1	1	1	1	1	Passed
images\282.jpg	0	1	0	1	1	Failed
images\283.jpg	1	0	0	1	1	Failed
images\284.jpg	1	0	1	1	1	Failed
images\285.jpg	1	1	0	1	1	Failed
images\286.jpg	1	N/A	1	0	N/A	Failed
images\287.jpg	1	0	0	0	1	Failed
images\288.jpg	1	N/A	1	0	N/A	Failed
images\289.jpg	1	0	0	1	1	Failed
images\29.jpg	1	0	0	1	1	Failed
